"title","artists","date","duration","genre","award","nation"
"Come Out and Play","Billie Eilish","20 novembre 2018","3:30","Ballata,,Pop","oro","au"
"Cool Girl","Tove Lo","4 agosto 2016","3:19","Elettropop","oro","au"
"Could I Have This Kiss Forever","Enrique Iglesias,Whitney Houston","25 luglio 2000","4:21","Pop latino","oro","au"
"Country Grammar (Hot Shit)","Nelly","29 febbraio 2000","4:19","Midwest hip hop","oro","au"
"Crawl","Chris Brown","21 ottobre 2009","3:56","Pop soul,,Contemporary R&B","oro","au"
"Crazy","Gnarls Barkley","11 gennaio 2006","2:58","Neo soul,,Pop rock","oro","au"
"Crazy Kids","Kesha","30 aprile 2013","3:50","Pop rap,,Elettropop","oro","au"
"Dancing","Kylie Minogue","19 gennaio 2018","2:58","Country pop,,Elettropop","oro","au"
"Creep","Radiohead","1992","3:59","Rock alternativo,,Grunge","oro","au"
"Dangerous","Roxette","2 maggio 1989","3:48","Pop","oro","au"
"Dare","Gorillaz","29 agosto 2005","4:07","Disco,,Elettropop","oro","au"
"Dani California","Red Hot Chili Peppers","3 aprile 2006","4:42","Rock alternativo,,Funk rock,,Pop rock","oro","au"
"Dear Mr. President","Pink","21 dicembre 2006  (Belgio)  16 aprile 2007  (Paesi Bassi)  27 aprile 2007  (Germania)  4 giugno 2007  (Repubblica Ceca)  7 luglio 2007 (Australia)  30 luglio 2007  (Regno Unito)  (Canada)  ottobre 2007","4:33","Soft rock,,Musica acustica","oro","au"
"Daughters","John Mayer","28 settembre 2004","3:59","Rock alternativo,,Blues rock","oro","au"
"Daughter","Pearl Jam","1993","3:55","Rock alternativo","oro","au"
"Did It Again","Kylie Minogue","novembre 1997","4:22","Pop rock","oro","au"
"Deeper and Deeper","Madonna","8 dicembre 1992   10 dicembre 1992  ","5:33","Musica house,,Dance pop","oro","au"
"DNA","Little Mix","1º ottobre 2012","3:56","Elettropop,,Dubstep","oro","au"
"I Do Not Hook Up","Kelly Clarkson","30 marzo 2009","3:20","Pop rock,,Power pop","oro","au"
"Do I Wanna Know?","Arctic Monkeys","2013","4:33","Indie rock","oro","au"
"DNA","BTS","18 settembre 2017","3:43","","oro","au"
"Die Another Day","Madonna","22 ottobre 2002","4:38","Electroclash,,Elettropop","oro","au"
"Do Somethin'","Britney Spears","13 febbraio 2005","3:22","Elettropop,,Dance pop","oro","au"
"Don't Forget About Us","Mariah Carey","12 dicembre 2005    13 dicembre 2005  ","3:53","Hip hop soul,,Contemporary R&B","oro","au"
"Don't Cry","Guns N' Roses","17 settembre 1991","4:42","Power ballad,,Hard rock","oro","au"
"Don't Cry for Me Argentina","Madonna","dicembre 1996   11 febbraio 1997 ","5:34","Pop","oro","au"
"Don't Call Me Angel","Ariana Grande,Miley Cyrus,Lana Del Rey","13 settembre 2019","3:10","Pop,,Trap","oro","au"
"Don't Give Up","Chicane","6 marzo 2000","3:42","Trance","oro","au"
"Don't Go Breaking My Heart","Backstreet Boys","17 maggio 2018","3:35","Elettropop","oro","au"
"Dont' Judge Me","Chris Brown","14 agosto 2012","3:15","","oro","au"
"Don't Know Why","Norah Jones","luglio 2002","3:09","Pop,,Jazz","oro","au"
"Don't Leave","Snakehips,MØ","6 gennaio 2017","3:34","Elettropop","oro","au"
"Don't Let Me Get Me","Pink","19 febbraio 2002","3:30","Pop rock","oro","au"
"Don't Lie","Black Eyed Peas,,accreditati come The Black Eyed Peas","26 luglio 2005","3:39","Reggae fusion","oro","au"
"Don't Stop","5 Seconds of Summer","9 maggio 2014","2:50","Pop rock,,Pop punk","oro","au"
"Don't Matter to Me","Drake,Michael Jackson","6 luglio 2018","4:05","Contemporary R&B","oro","au"
"Don't Stop 'til You Get Enough","Michael Jackson","28 Luglio 1979","6:05 (Album Version),,3:55 (7"" Edit)","Disco","oro","au"
"Down Boy","Holly Valance","12 ottobre 2002","3:25","Dance pop","oro","au"
"Don't Tell Me","Avril Lavigne","1º marzo 2004","3:26","Post-grunge,,Pop rock,,Pop punk","oro","au"
"Drop It Like It's Hot","Snoop Dogg","26 ottobre 2004","4:26","Hipster hop","oro","au"
"Done for Me","Charlie Puth","15 marzo 2018","3:00","Contemporary R&B,,Pop","oro","au"
"Drown","Bring Me the Horizon","3 novembre 2014","3:41","Rock alternativo","oro","au"
"Earned It","The Weeknd","23 dicembre 2014","4:12","Contemporary R&B,,Pop barocco","oro","au"
"E.I.","Nelly","28 ottobre 2000","4:45","Midwest hip hop","oro","au"
"Elevator","Flo Rida","12 febbraio 2008","3:50,(Album),,3:36,(Radio)","Elettrorap","oro","au"
"Electrical Storm","U2","21 ottobre 2002","4:37","Rock","oro","au"
"Eh, Eh (Nothing Else I Can Say)","Lady Gaga","30 gennaio 2009  (vedi pubblicazione)","2:56","Europop,,Synth pop,,Bubblegum dance","oro","au"
"Emotion","Destiny's Child","13 novembre 2001 (Europa)  20 novembre 2001 (USA)  4 dicembre 2001 (Australia)","3:55","Soul,,Contemporary R&B","oro","au"
"Eleven","Khalid","11 gennaio 2020","3:26","Contemporary R&B","oro","au"
"Enter Sandman","Metallica","29 luglio 1991","5:37","Heavy metal","oro","au"
"Erotica","Madonna","13 ottobre 1992","5:17","Trip hop,,New jack swing,,Musica da ballo,,Dance pop","oro","au"
"Especially for You","Kylie Minogue,Jason Donovan","dicembre 1988","3:58","Pop,,Ballata","oro","au"
"Emotions","Mariah Carey","13 agosto 1991","4:09","Disco,,Soul,,Pop,,Contemporary R&B,,Gospel","oro","au"
"Everybody Hurts","R.E.M.","15 aprile 1993    4 settembre 1993 ","5:20","Ballata,,Rock alternativo,,Rock sinfonico","oro","au"
"Everyday","Ariana Grande","10 gennaio 2017","3:15","Elettropop,,Trap","oro","au"
"Ex-Girlfriend","No Doubt","23 maggio 2000","3:26","","oro","au"
"Everyday","Bon Jovi","Agosto 2002","3:00","Hard rock","oro","au"
"Everytime","Britney Spears","10 maggio 2004","3:50","Pop,,Ballata","oro","au"
"Express Yourself","Madonna","9 maggio 1989","4:39","Dance pop,,Funk","oro","au"
"Fairground","Simply Red","18 settembre 1995","4:23","Dance pop","oro","au"
"Fall","Eminem","14 settembre 2018","4:22","Hip hop","oro","au"
"Family Affair","Mary J. Blige","12 giugno 2001","4:25","Contemporary R&B","oro","au"
"Family Portrait","Pink","Dicembre 2002","4:56","Contemporary R&B,,Pop","oro","au"
"Famous","Kanye West","29 marzo 2016","3:14","Alternative hip hop,,Southern hip hop","oro","au"
"Far Away","Nickelback","febbraio 2006","3:59,(album),,3:42,(edit version)","Soft rock","oro","au"
"Fake Love","BTS","18 maggio 2018","4:02","K-pop,,Rap rock,,Emo rap,,Elettropop,,Grunge","oro","au"
"Feel","Robbie Williams","2 dicembre 2002","4:22","Pop,,Pop rock","oro","au"
"Father Figure","George Michael","2 gennaio 1988","5:40","Pop,,Ballata,,Contemporary R&B","oro","au"
"Feel Good Time","Pink","Luglio 2003","3:42","Pop rock,,Dance punk","oro","au"
"Feliz Navidad","José Feliciano","1970","3:00","Pop,,Musica natalizia","oro","au"
"Feelin' So Good","Jennifer Lopez,,featuring,Big Pun,e,Fat Joe","17 marzo 2000","5:27","Contemporary R&B,,Hip hop","oro","au"
"Fergalicious","Fergie","23 ottobre 2006   12 novembre 2007 ","3:42,(Radio edit),,4:52,(Album version)","Hip hop","oro","au"
"Fighter","Christina Aguilera","13 marzo 2003","4:05","Contemporary R&B,,Rock","oro","au"
"Fetish","Selena Gomez","13 luglio 2017","3:06","Pop","oro","au"
