"title","artists","date","duration","genre","award","nation"
"New Rules","Dua Lipa","15 luglio 2017","3:29","Elettropop,,Musica tropicale,,Pop","1_platino","dk"
"Only Girl (In the World)","Rihanna","10 settembre 2010","3:55","Eurodance","1_platino","dk"
"Primadonna","Marina and the Diamonds","20 marzo 2012","3:41","Elettropop,,Musica house,,Europop,,Disco,,Rock elettronico","1_platino","dk"
"Praise the Lord (Da Shine)","ASAP Rocky","26 giugno 2018","3:26","Trap","1_platino","dk"
"Party Rock Anthem","LMFAO","8 marzo 2011","4:08","Electro house,,Hip house","1_platino","dk"
"Play Hard","David Guetta","15 marzo 2013","3:21","Electro house,,Dance pop","1_platino","dk"
"Pumped Up Kicks","Foster the People","4 aprile 2011","3:40","Indie rock,,Indie pop","1_platino","dk"
"Pretty Girl","Maggie Lindemann","30 settembre 2016","3:39","Pop","1_platino","dk"
"Perfect","One Direction","16 ottobre 2015","3:50","Pop rock","1_platino","dk"
"My Heart Will Go On","Céline Dion","8 dicembre 1997","4:40,(album version),,5:11 (soundtrack version)","Pop,,Power ballad","1_platino","dk"
"Ready or Not","Bridgit Mendler","3 agosto 2012","3:20","Soul,,Rhythm and blues","1_platino","dk"
"Rap God","Eminem","15 ottobre 2013","6:03","Hip hop","1_platino","dk"
"Nothing Breaks Like a Heart","Mark Ronson","29 novembre 2018","3:37","Country,,Disco,,Pop","1_platino","dk"
"Promiscuous","Nelly Furtado","25 aprile 2006   4 settembre 2006    24 giugno 2006  ","4:02,(versione album),,3:42,(radio edit)","Contemporary R&B,,Dance pop,,Hip hop","1_platino","dk"
"Replay","Iyaz","7 luglio 2009","3:02","Reggae fusion,,Contemporary R&B,,Elettropop","1_platino","dk"
"Ransom","Lil Tecca","22 maggio 2019","2:11","Hip hop","1_platino","dk"
"Rehab","Amy Winehouse","23 ottobre 2006 ","3:36","Soul,,Contemporary R&B,,Jazz","1_platino","dk"
"On the Floor","Jennifer Lopez","8 febbraio 2011","3:51,(Single version),,4:44,(Album version)","Eurodance,,Electro house","1_platino","dk"
"Promises","Calvin Harris,Sam Smith","17 agosto 2018","3:33","Musica house","1_platino","dk"
"The Real Slim Shady","Eminem","10 maggio 2000","","Comedy hip hop","1_platino","dk"
"Only Teardrops","Emmelie de Forest","2 maggio 2013  (vedi dettagli)","3:03,,(vedi dettagli)","Pop,,Folk,,World music","1_platino","dk"
"Release Me","Agnes","24 novembre 2008","4:15","Dance pop","1_platino","dk"
"Reality","Lost Frequencies","11 maggio 2015","2:38","Tropical house,,Pop rock","1_platino","dk"
"Redbone","Childish Gambino","17 novembre 2016","5:26,,3:27 (Radio Edit)","Psychedelic soul","1_platino","dk"
"Rise","Jonas Blue","25 maggio 2018","3:14","Musica house,,Tropical house","1_platino","dk"
"Psycho","Post Malone","23 febbraio 2018","3:41","","1_platino","dk"
"Rockstar","DaBaby","24 aprile 2020  (vedi date di pubblicazione)","3:01","Trap","1_platino","dk"
"Riptide","Vance Joy","21 maggio 2013","3:22","Indie pop","1_platino","dk"
"Ruin My Life","Zara Larsson","18 ottobre 2018","3:10","Pop","1_platino","dk"
"Right Round","Flo Rida","27 gennaio 2009","3:23","Elettrorap,,Elettropop","1_platino","dk"
"Sex on Fire","Kings of Leon","5 settembre 2008","3:23","Rock alternativo","1_platino","dk"
"Say It Right","Nelly Furtado","30 ottobre 2006    2 dicembre 2006     2 marzo 2007    (download digitale) 5 marzo 2007   2 aprile 2007  Olanda 14 aprile 2007   21 maggio 2007    (CD singolo) 4 giugno 2007","3:45,(versione album),,3:34,(radio edit)","Contemporary R&B,,Pop","1_platino","dk"
"Same Old Love","Selena Gomez","10 settembre 2015","3:49","Elettropop","1_platino","dk"
"Savage Love (Laxed - Siren Beat)","Jawsh 685,,Jason Derulo","11 giugno 2020","2:51","","1_platino","dk"
"Ride","Twenty One Pilots","12 maggio 2015","3:34","Reggae","1_platino","dk"
"Sexy and I Know It","LMFAO","16 settembre 2011","3:19","Electronic dance music,,Musica demenziale","1_platino","dk"
"She Will Be Loved","Maroon 5","27 luglio 2004","4:17","Pop rock","1_platino","dk"
"Slow Hands","Niall Horan","4 maggio 2017","3:07","Pop","1_platino","dk"
"S&M","Rihanna","21 gennaio 2011","4:04","Eurodance,,Electro,,Hi-NRG","1_platino","dk"
"Sexual Healing","Marvin Gaye","settembre 1982","4:05","Soul,,Contemporary R&B,,Funk","1_platino","dk"
"Ride It","Regard","26 luglio 2019","2:37","Musica house","1_platino","dk"
"Set Fire to the Rain","Adele","4 luglio 2011","4:02","Pop,,Power ballad","1_platino","dk"
"Skinny Love","Bon Iver","28 aprile 2008","3:59","Folk","1_platino","dk"
"The Scientist","Coldplay","4 novembre 2002","5:09","Rock alternativo","1_platino","dk"
"Shake It Off","Taylor Swift","18 agosto 2014","3:39","Dance pop","1_platino","dk"
"Snik snak","Gilli","26 giugno 2020","2:43","Trap","1_platino","dk"
